牡	mǔ	male of animals; bolt of door		
暢	chàng	smoothly, freely, unrestrained	暢銷 舒暢	chàngxiāo shūchàng
添	tiān	append, add to; increase		
妖	yāo	strange, weird, supernatural		
劑	jì	medicinal preparation	劑量	jìliàng
泛	fàn	to drift, float; careless, reckless	廣泛	guǎngfàn
柴	chái	firewood, faggots, fuel	火柴	huǒchái
杰	jié	hero; heroic, outstanding		
崔	cuī	high, lofty, towering; surname		
攜	xié	lead by hand, take with; carry		
壇	tán	altar; arena, examination hall	文壇	wéntán
喚	huàn	call, summon; invite; be called	使喚	shǐhuàn
拷	kǎo	torture and interrogate; hit		
萍	píng	duckweed; wandering, traveling		
勾	gōu	hook, join, connect; entice	勾結	gōujié
催	cuī	press, urge	催眠	cuīmián
糖	táng	sugar; candy; sweets		
踩	cǎi	step on		
櫃	guì	cupboard, wardrobe, counter	櫃子 衣櫃 櫃臺	guìzi yīguì guìtái
蟻	yǐ	ants	螞蟻	mǎyǐ
販	fàn	peddler, hawker, street merchant	販毒 販賣 小販	fàndú fànmài xiǎofàn
抑	yì	press down, repress; curb, hinder	抑制	yìzhì
虹	hóng	rainbow		
潘	pān	surname; water in which rice has been rinsed; a river that flows into the Han		
坑	kēng	pit, hole; bury, trap; harry		
暮	mù	evening, dusk, sunset; ending		
腹	fù	stomach, belly, abdomen; inside		
煮	zhǔ	cook		
襲	xí	raid, attack; inherit	抄襲 侵襲 襲擊	chāoxí qīnxí xíjī
仿	fǎng	imitate, copy; as if	模仿 仿冒 仿造	mófǎng fǎngmào fǎngzào
臂	bì	arm		
吻	wěn	kiss; the lips; coinciding	口吻	kǒuwěn
浴	yù	bathe, wash; bath	浴室 沐浴	yùshì mùyù
框	kuāng	frame; framework; door frame		
敲	qiāo	strike, beat, pound, hammer; rap		
佑	yòu	help, protect, bless	保佑	bǎoyòu
彷	fǎng	like, resembling; resemble		
謹	jǐn	prudent, cautious; attentive	謹慎	jǐnshèn
岳	yuè	mountain peak; surname		
敘	xù	express, state, relate, narrate	敘述	xùshù
賊	zéi	thief, traitor	竊賊	qièzéi
罐	guàn	jar, jug, pitcher, pot	罐頭 罐子	guàntou guànzi
寡	guǎ	widowed; alone, friendless	多寡 寡婦	duōguǎ guǎfu
燦	càn	vivid, illuminating; bright	燦爛	cànlàn
侶	lǚ	companion; associate with	情侶	qínglǚ
攤	tān	spread out, open; apportion	地攤 攤子 攤位	dìtān tānzi tānwèi
翠	cuì	color green; kingfisher	青翠	qīngcuì
羨	xiàn	envy, admire; praise; covet	羨慕	xiànmù
綿	mián	cotton wad; wool; soft, downy	綿延	miányán
謎	mí	riddle, conundrum; puzzle	謎語	míyǔ
掩	yǎn	to cover (with the hand); shut, conceal; ambush	掩蓋	yǎngài
喻	yù	metaphor, analogy; example; like	比喻	bǐyù
秩	zhì	order; orderly; salary; decade	秩序	zhìxù
煌	huáng	bright, shining, luminous	輝煌	huīhuáng
賠	péi	indemnify, suffer loss	賠償 索賠	péicháng suǒpéi
籤	qiān	tally; lot; marker	標籤	biāoqiān
珊	shān	coral		
馨	xīn	fragrant, aromatic; distant fragrance		
脅	xié	ribs; armpits; flank; threaten	威脅	wēixié
拘	jū	restrain, seize, detain		
紐	niǔ	knot; button; handle, knob; tie		
喲	yō	ah, final particle	哎喲	āiyō
蠢	chǔn	wriggle; stupid; silly; fat	愚蠢	yúchǔn
詠	yǒng	sing, hum, chant		
匙	shi	spoon; surname	鑰匙 湯匙	yàoshi tāngchí
攔	lán	obstruct, impede, bar, hinder		
膚	fū	skin; superficial, shallow	皮膚 膚淺 肌膚	pífū fūqiǎn jīfū
驟	zhòu	procedure; gallop; sudden(ly)	步驟	bùzhòu
嫁	jià	to marry, give a daughter in marriage		
廟	miào	temple, shrine; imperial court	寺廟	sìmiào
孕	yùn	be pregnant, pregnancy	懷孕 避孕 孕婦	huáiyùn bìyùn yùnfù
俄	é	sudden(ly), soon; Russian		
肝	gān	liver		
罩	zhào	basket for catching fish; cover	籠罩	lǒngzhào
腸	cháng	intestines; emotions; sausage	香腸	xiāngcháng
叛	pàn	rebel; rebellion; rebellious		
匪	fěi	bandits, robbers, gangsters		
卸	xiè	lay down; retire from office		
袍	páo	long gown, robe, cloak	旗袍	qípáo
謊	huǎng	lie	撒謊 說謊	sāhuǎng shuōhuǎng
貿	mào	trade, barter; mixed; rashly	貿易 外貿	màoyì wàimào
魏	wèi	kingdom of Wei; surname		
御	yù	drive, ride; chariot; manage		
禦	yù	defend, resist, hold out against	防禦	fángyù
踴	yǒng	leap, jump	踴躍	yǒngyuè
蘋	píng	apple	蘋果	píngguǒ
澄	chéng	purify water by allowing sediment to settle; clear, pure		
麟	lín	female of Chinese unicorn		
宵	xiāo	night, evening, dark	宵夜	xiāoyè
陌	mò	foot path between rice fields	陌生	mòshēng
陋	lòu	narrow; crude, coarse; ugly		
屈	qū	bend, flex; bent, crooked; crouch	委屈 屈服	wěiqu qūfú
衷	zhōng	heart, from bottom of one's heart	苦衷 衷心	kǔzhōng zhōngxīn
崗	gǎng	post; position	崗位	gǎngwèi
盪	dàng	to toss about; to swing; to rock		
曆	lì	calendar, era		
惟	wéi	but, however, nevertheless; only		
匯	huì	a concourse; to flow together, gather together; to remit money	匯款 外匯 匯票	huìkuǎn wàihuì huìpiào
誘	yòu	persuade, entice, induce; guide	誘惑	yòuhuò
桂	guì	cassia or cinnamon		
娜	nà	elegant, graceful, delicate		
睹	dǔ	look at, gaze at; observe	目睹	mùdǔ
殿	diàn	hall; palace; temple	宮殿	gōngdiàn
傅	fù	tutor, teacher; assist; surname	師傅	shīfu
咒	zhòu	curse, damn, incantation		
謙	qiān	humble, modest	謙虛 謙遜	qiānxū qiānxùn
鑰	yào	key; lock	鑰匙	yàoshi
袖	xiù	sleeve; put something in sleeve	領袖	lǐngxiù
鈕	niǔ	button, knob; surname		
媚	mèi	charming, attractive; flatter		
叮	dīng	exhort or enjoin repeatedly		
翰	hàn	writing brush, pen, pencil		
捧	pěng	hold up in two hands	捧場	pěngchǎng
憤	fèn	resent, hate; indignant	憤怒 氣憤	fènnù qìfèn
猴	hóu	monkey, ape; monkey-like	猴子	hóuzi
粹	cuì	pure; unadulterated; select		
跨	kuà	straddle, bestride, ride; carry	跨越	kuàyuè
螞	mǎ	ant; leech	螞蟻	mǎyǐ
埃	āi	fine dust, dirt		
枉	wǎng	useless, in vain; bent, crooked	冤枉	yuānwang
卿	qīng	noble, high officer		
撕	sī	rip, tear; buy cloth		
紋	wén	line, streak, stripe; wrinkle	花紋 指紋 皺紋	huāwén zhǐwén zhòuwén
划	huà	to row or paddle boat; to scratch	划不來 划得來	huábulái huádelái
囂	xiāo	be noisy; treat with contempt		
雕	diāo	engrave, inlay, carve; exhaust	雕刻	diāokè
乳	rǔ	breast, nipples; milk, suckle	哺乳動物	bǔrǔdòngwù
膀	bǎng	upper arm; shoulder; wing	肩膀 翅膀	jiānbǎng chìbǎng
仗	zhàng	rely upon; protector; fight; war, weaponry	打仗	dǎzhàng
筒	tǒng	thick piece of bamboo; pipe	手電筒	shǒudiàntǒng
辜	gū	crime, criminal offense	辜負	gūfù
桶	tǒng	pail, bucket, tub; cask, keg	馬桶	mǎtǒng
彿	fú	resembling, like, as if		
衰	shuāi	decline, falter, decrease; weaken	衰退	shuāituì
獵	liè	hunt; field sports	打獵 獵人 狩獵	dǎliè lièrén shòuliè
譬	pì	metaphor, simile, example	譬如	pìrú
勳	xūn	meritorious deed; merits; rank		
衫	shān	shirt; robe; gown; jacket	襯衫	chènshān
懇	kěn	sincere, earnest, cordial	誠懇	chéngkěn
瓊	qióng	jade; rare, precious; elegant		
凍	dòng	freeze; cold, congeal; jelly	凍結 冷凍	dòngjié lěngdòng
戚	qī	relative; be related to; sad	親戚	qīnqi
穎	yǐng	rice tassel; sharp point; clever	新穎	xīnyǐng
軸	zhóu	axle, axletree; pivot; axis	主軸	zhǔzhóu
殖	zhí	breed, spawn; increase; prosper	殖民地 繁殖 生殖	zhímíndì fánzhí shēngzhí
撤	chè	omit; remove; withdraw	撤回 撤銷	chèhuí chèxiāo
潭	tán	deep pool, lake; deep, profound		
姻	yīn	relatives by marriage	婚姻	hūnyīn
躺	tǎng	lie down, recline		
樑	liáng	bridge; beam		
昂	áng	rise, raise; proud, bold; upright	昂貴	ángguì
潑	pō	pour, splash, water, sprinkle; violent, malignant	活潑	huópo
腔	qiāng	chest cavity; hollow in body	唱腔 腔調	chàngqiāng qiāngdiào
龐	páng	disorderly, messy; huge, big	臉龐	liǎnpáng
澳	ào	inlet, bay; dock, bank		
瞬	shùn	wink, blink; in a wink, a flash	瞬間	shùnjiān
銅	tóng	copper, brass, bronze cuprum		
肢	zhī	human limbs; animal feet		
糾	jiū	investigate, inspect	糾正 糾紛	jiūzhèng jiūfēn
叢	cóng	bush, shrub; thicket; collection	草叢	cǎocóng
拓	tà	expand; open up; support or push	開拓	kāituò
宰	zǎi	to slaughter; to rule	主宰	zhǔzǎi
鍊	liàn	smelt metals, forge; refine	鍛鍊	duànliàn
湊	còu	piece together, assemble	湊巧 緊湊	còuqiǎo jǐncòu
梭	suō	weaver's shuttle; go to and fro	穿梭	chuānsuō
宅	zhái	residence, dwelling, home; grave	住宅	zhùzhái
刮	guā	shave, pare off, scrape		
芝	zhī	sesame; a purplish or brown mushroom thought to have miraculous powers; 'a divine and relicitous plant' (Karlgren)		
淋	lín	drip, soak, drench; perfectly	冰淇淋	bīngqílín
斃	bì	kill; die violent death		
驕	jiāo	spirited horse; haughty	驕傲	jiāoào
殷	yīn	many, great; abundant, flourishing		
墓	mù	grave, tomb	墳墓	fénmù
償	cháng	repay, recompense; restitution	補償 賠償	bǔcháng péicháng
冥	míng	dark, gloomy, night; deep	冥想	míngxiǎng
炒	chǎo	fry, saute, roast, boil, cook		
潤	rùn	soft, moist; sleek; freshen	利潤	lìrùn
蕩	dàng	pond, pool; wash away, cleanse	放蕩	fàngdàng
妄	wàng	absurd, foolish, reckless; false	狂妄	kuángwàng
砸	zá	smash, crush, break; pound, mash		
餓	è	hungry; greedy for; hunger	飢餓	jīè
扎	zhā	pull up; pierce; struggle free	掙扎	zhēngzhá
佇	zhù	wait; look towards; turn one's back on	佇立	zhùlì
尿	niào	urine; urinate		
眷	juàn	take interest in, care for		
濕	shī	wet, moist, humid, damp; an illness	潮濕	cháoshī
盲	máng	blind; unperceptive, shortsighted	盲目 盲從 盲人	mángmù mángcóng mángrén
偽	wěi	false, counterfeit, bogus		
踐	jiàn	trample, tread upon, walk on	實踐	shíjiàn
淫	yín	obscene, licentious, lewd		
貧	pín	poor, impoverished, needy	貧窮 貧苦 貧民	pínqióng pínkǔ pínmín
謬	miù	error, exaggeration; erroneous		
矩	jǔ	carpenter's square, ruler, rule	規矩	guīju
駁	bó	varicolored, variegated; mixed; contradict, argue; suddenly		
淵	yuān	gulf, abyss, deep		
棍	gùn	stick, cudgel; scoundrel	棍子	gùnzi
馳	chí	go quickly or swiftly; hurry		
熙	xī	bright, splendid, glorious		
扶	fú	support, help; protect; hold on		
聘	pìn	engage, employ; betroth	聘請	pìnqǐng
槽	cáo	trough; manger; vat, tank; groove; a distillery		
詭	guǐ	deceive, cheat, defraud; sly		
昧	mèi	obscure, dark; darken		
澡	zǎo	wash, bathe	洗澡	xǐzǎo
辣	là	peppery, pungent, hot; cruel	辣椒	làjiāo
蚊	wén	mosquito; gnat	蚊子	wénzi
僧	sēng	Buddhist priest, monk; san of Sanskrit sangha		
柱	zhù	pillar, post; support; lean on	柱子	zhùzi
挫	cuò	push down; chop down; grind	挫折	cuòzhé
籠	lóng	cage; cage-like basket	燈籠 籠子 籠罩	dēnglóng lóngzi lǒngzhào
抖	dǒu	tremble, shake, rouse; give shake	發抖 顫抖	fādǒu chàndǒu
訝	yà	express surprise, be surprised	驚訝	jīngyà
勃	bó	suddenly, sudden, quick	蓬勃	péngbó
顛	diān	top, peak, summit; upset	顛覆	diānfù
淘	táo	wash in sieve; weed out	淘氣 淘汰	táoqì táotài
撲	pū	pound, beat, strike; attack	撲滅	pūmiè
瘟	wēn	epidemic, plague, pestilence	瘟疫	wēnyì
癢	yǎng	itch		
肆	sì	indulge; excess; numeral four; particle meaning now, therefore; shop		
漆	qī	varnish, lacquer, paint	噴漆	pēnqī
猩	xīng	species of orangutan		
帖	tiē	invitation card; notice		
佐	zuǒ	assist, aid, second; subordinate		
祈	qí	pray; entreat, beseech		
矮	ǎi	short, dwarf; low		
賄	huì	bribe; bribes; riches, wealth	賄賂	huìlù
緻	zhì	delicate, fine; dense	精緻	jīngzhì
婉	wǎn	amiable, congenial; restrained		
饒	ráo	bountiful, abundant, plentiful		
闖	chuǎng	rush in, burst in, charge in		
歧	qí	fork of road; branching off	歧視	qíshì
諷	fèng	recite, incant; satirize	諷刺	fěngcì
熬	áo	cook down, to boil; endure		
診	zhěn	examine patient, diagnose	門診 急診 診斷	ménzhěn jízhěn zhěnduàn
霜	shuāng	frost; crystallized; candied		
諧	xié	harmonize, agree; joke, jest	和諧	héxié
掙	zhēng	to strive, endeavor, struggle; to earn; to pierce; to wedge in	掙扎	zhēngzhá
鈞	jūn	unit of measure equivalent to thirty catties		
覓	mì	seek; search		
瀟	xiāo	sound of beating wind and rain; light, ethereal	瀟灑	xiāosǎ
屑	xiè	bits, scraps, crumbs, fragments		
鋪	pù	spread out, arrange; shop, store; place to sleep, bed		
黏	nián	stick to; glutinous, sticky; glue		
遣	qiǎn	send, dispatch; send off, exile	派遣 消遣	pàiqiǎn xiāoqiǎn
蹈	dǎo	stamp feet; dance	舞蹈	wǔdǎo
懸	xuán	hang, suspend, hoist; be hung	懸殊 懸崖	xuánshū xuányá
蝴	hú	butterfly	蝴蝶	húdié
汁	zhī	juice, liquor, fluid, sap, gravy, sauce	果汁	guǒzhī
攏	lǒng	collect, bring together		
帆	fán	sail; boat		
壺	hú	jar, pot, jug, vase; surname		
瑟	sè	large stringed musical instrument; dignified, massive; sound of wind		
雁	yàn	wild goose		
穗	suì	ear of grain; tassel; Guangzhou		
慨	kǎi	sigh, regret; generous	慷慨	kāngkǎi
哼	hēng	hum; sing softly; groan, moan; (Cant.) an interjecting indicating disapproval		
淒	qī	bitter cold, miserable, dreary	淒涼	qīliáng
膜	mó	membrane; to kneel and worship		
濾	lǜ	strain out, filter	過濾	guòlǜ
范	fàn	surname; bee-like insect		
恕	shù	forgive, excuse, show mercy		
醬	jiàng	any jam-like or paste-like food	醬油	jiàngyóu
纖	xiān	fine, delicate; minute; graceful	纖維	xiānwéi
輻	fú	spokes of wheel	輻射	fúshè
稚	zhì	young, immature; childhood	幼稚	yòuzhì
郁	yù	sweet smelling, rich in aroma; (Cant.) to move, hit		
募	mù	levy, raise; summon; recruit	募集	mùjí
豫	yù	relaxed, comfortable, at ease	猶豫	yóuyù
艇	tǐng	small boat, dugout, punt		
枯	kū	dried out, withered, decayed		
寵	chǒng	favorite, concubine; favor	寵愛 寵物	chǒngài chǒngwù
漁	yú	to fish; seize; pursue; surname	漁民	yúmín
淹	yān	drown; cover with liquid, steep		
岩	yán	cliff; rocks; mountain	岩石	yánshí
墊	diàn	advance money, pay for another		
鞭	biān	whip; whip; string of firecrackers	鞭炮	biānpào
縫	fèng	sew, mend	裁縫	cáiféng
斑	bān	mottled, striped, freckle		
竿	gān	bamboo pole; penis		
駝	tuó	a camel; humpbacked; to carry on the back	駱駝	luòtuo
崎	qí	rough, uneven, jagged, rugged		
冤	yuān	grievance, injustice, wrong	冤枉	yuānwang
棵	kē	numerary adjunct for trees		
僕	pú	slave, servant, I		
疊	dié	repeat, duplicate; repetitious	重疊	chóngdié
箏	zhēng	stringed musical instrument; kite		
剎	shā	temple	剎車	shāchē
墜	zhuì	fall down, drop, sink, go to ruin		
遮	zhē	cover, shield, protect	遮蔽	zhēbì
螺	luó	spiral shell; conch; spiral		
煎	jiān	fry in fat or oil; boil in water		
癮	yǐn	rash; addiction, craving, habit	過癮 上癮	guòyǐn shàngyǐn
蠟	là	wax; candle; waxy, glazed	蠟燭	làzhú
瞎	xiā	blind, reckless; rash		
禱	dǎo	pray; entreat, beg, plead; prayer		
坎	kǎn	pit, hole; snare, trap; crisis		
蒂	dì	peduncle or stem of plants		
魁	kuí	chief; leader; best; monstrous	奪魁	duókuí
唇	chún	lips	嘴唇	zuǐchún
錶	biǎo	a watch, clock	手錶	shǒubiǎo
籲	yù	appeal; request; implore	呼籲	hūyù
娛	yú	pleasure, enjoyment, amusement	娛樂	yúlè
甩	shuǎi	throw away, discard		
颱	tái	taiphoon	颱風	táifēng
屎	shǐ	excrement, shit, dung		
沾	zhān	moisten, wet, soak; touch		
撫	fǔ	pat, console, comfort; pacify	安撫 撫養 撫育	ānfǔ fǔyǎng fǔyù
傘	sǎn	umbrella, parasol, parachute		
嬌	jiāo	seductive and loveable; tender		
錫	xī	tin, stannum; bestow, confer		
禿	tū	bald, bare, stripped		
淪	lún	be lost; sink, be submerged	淪陷	lúnxiàn
剝	bō	peel, peel off, to shell, strip	剝削	bōxuē
揭	jiē	raise, lift up; surname	揭幕 揭曉	jiēmù jiēxiǎo
溶	róng	to melt, dissolve; overflowing with	溶化	rónghuà
匿	nì	hide; go into hiding		
趟	tàng	time, occasion; take journey		
盆	pén	basin, tub, pot, bowl	花盆 盆地	huāpén péndì
湧	yǒng	well up; gush forth; rise		
坊	fāng	neighborhood, urban subdivision; (J) priest's residence; (Buddhist) priest; boy	街坊	jiēfāng
炭	tàn	charcoal; coal; carbon		
碳	tàn	carbon		
赴	fù	go to; attend, be present		
磚	zhuān	tile, brick		
栗	lì	chestnut tree, chestnuts; surname		
狹	xiá	narrow, limited; narrow-minded; to pinch	狹小 狹窄	xiáxiǎo xiázhǎi
菊	jú	chrysanthemum		
嘎	gā	sound of laughter; bad, malevolent		
瘦	shòu	thin, emaciated, lean; meager		
氧	yǎng	oxygen	氧氣	yǎngqì
頹	tuí	ruined, decayed; disintegrate		
驢	lǘ	donkey, ass		
債	zhài	debt, loan, liabilities	公債	gōngzhài
摧	cuī	destroy, break, injure	摧殘 摧毀	cuīcán cuīhuǐ
鹽	yán	salt	鹽巴	yánbā
挽	wǎn	pull; pull back, draw back	挽救	wǎnjiù
墾	kěn	cultivate, reclaim, to farm land		
霞	xiá	rosy clouds		
伐	fá	cut down, subjugate, attack		
畔	pàn	boundary path dividing fields		
逍	xiāo	ramble, stroll, jaunt, loiter	逍遙	xiāoyáo
瑩	yíng	lustre of gems; bright, lustrous		
脾	pí	spleen, pancreas; disposition	發脾氣 脾氣	fāpíqì píqi
帕	pà	turban, kerchief, veil; wrap		
噪	zào	be noisy; chirp loudly	噪音	zàoyīn
穫	huò	harvest, cut grain	收穫	shōuhuò
縛	fù	to tie	束縛	shùfù
暈	yūn	halo in sky; fog; dizzy, faint		
裙	qún	skirt, apron, petticoat	裙子	qúnzi
頸	jǐng	neck, throat		
竊	qiè	secretly, stealthily; steal; thief	竊賊	qièzéi
濁	zhuó	muddy, turbid, dirty, filthy	混濁	hùnzhuó
峽	xiá	gorge, strait, ravine; isthmus	海峽 峽谷	hǎixiá xiágǔ
倘	tǎng	if, supposing, in event of	倘若	tǎngruò
蘊	yùn	collect, gather, store; profound; (Budd.) skandha		
囊	náng	bag, purse, sack; put in bag	囊括	nángkuò
霉	méi	mildew, mold; moldy, mildewed		
剃	tì	shave		
衍	yǎn	overflow, spill over, spread out	敷衍 衍生	fūyǎn yǎnshēng
廂	xiāng	side-room, wing; theatre box	車廂	chēxiāng
臟	zàng	internal organs, viscera	心臟	xīnzàng
枕	zhěn	pillow	枕頭	zhěntou
慌	huāng	nervous, panicky, frantic	慌張	huāngzhāng
豔	yàn	plump, voluptuous, beautiful		
湘	xiāng	Hunan province		
熄	xī	put out, extinguish, quash		
畜	chù	livestock, domestic animals		
蓄	xù	store, save, hoard, gather	儲蓄	chǔxù
削	xuē	scrape off, pare, trim	削減 剝削 削弱	xuējiǎn bōxuē xuēruò
鵬	péng	fabulous bird of enormous size		
券	quàn	certificate, ticket; title deeds	證券	zhèngquàn
渺	miǎo	endlessly long, boundless, vast		
臘	là	year end sacrifice; dried meat	臘月	Làyuè
伺	cì	serve, wait upon, attend; examine	伺候	cìhòu
蕾	lěi	buds, unopened flowers		
挨	āi	near, close by, next to, towards, against; to wait; to lean on		
漿	jiāng	any thick fluid; starch; broth	豆漿	dòujiāng
娶	qǔ	marry, take wife		
廚	chú	kitchen; closet; cupboard	廚房 廚師	chúfáng chúshī
睜	zhēng	to open the eyes; stare		
薛	xuē	kind of marsh grass; feudal state		
蓬	péng	type of raspberry; fairyland	蓬勃	péngbó
垮	kuǎ	be defeated, fail, collapse		
暨	jì	and; attain, reach; confines		
鑼	luó	gong		
遂	suì	comply with, follow along; thereupon		
喧	xuān	lively, noisy; clamor, talk loudly		
釘	dīng	nail, spike; pursue closely		
堵	dǔ	wall; stop, prevent; stop up	堵塞	dǔsè
醇	chún	rich, good as wine; pure, unmixed	膽固醇	dǎngùchún
耕	gēng	plow, cultivate	耕地	gēngdì
濱	bīn	beach, sea coast; river bank		
履	lǚ	footwear, shoes; walk on, tread	履歷 履行	lǚlì lǚxíng
艱	jiān	difficult, hard; distressing	艱苦 艱難	jiānkǔ jiānnán
緯	wěi	woof; parallels of latitude		
姦	jiān	adultery, debauchery; debauch		
摯	zhì	sincere, warm, cordial; surname	誠摯	chéngzhì
鴉	yā	crow, raven; Corvus species (various)	烏鴉 鴉片	wūyā yāpiàn
蒸	zhēng	steam; evaporate	水蒸氣 蒸發 蒸氣	shuǐzhēngqì zhēngfā zhēngqì
葡	pú	grapes	葡萄	pútao
嚐	cháng	taste		
霍	huò	quickly, suddenly; surname		
妓	jì	prostitute		
棉	mián	cotton; cotton padded	棉被 棉花	miánbèi miánhua
秉	bǐng	grasp, hold; bundle; authority		
爹	diē	father, daddy		
撈	lāo	scoop out of water; dredge, fish		
綁	bǎng	bind, tie, fasten		
呻	shēn	groan, moan; recite with intonation		
拂	fú	shake off, brush away; dust		
貳	èr	number two		
燭	zhú	candle, taper; to shine, illuminate	蠟燭	làzhú
懲	chéng	punish, reprimand; warn		
宴	yàn	to entertain, feast; a feast, banquet	宴會	yànhuì
撇	piē	discard, abandon, throw away		
爍	shuò	shine, glitter, sparkle	閃爍	shǎnshuò
汰	tài	excessive; scour, wash out	淘汰	táotài
癌	ái	cancer; marmoset	癌症	áizhèng
咕	gū	mumble, mutter, murmur; rumble	嘀咕	dígu
崩	bēng	rupture, split apart, collapse	崩潰	bēngkuì
膩	nì	greasy, oily, dirty; smooth	油膩	yóunì
撰	zhuàn	compose, write, compile	撰寫	zhuànxiě
樸	pǔ	simple, honest; plain; rough	樸素	pǔsù
棺	guān	coffin	棺材	guāncai
頌	sòng	laud, acclaim; hymn; ode	歌頌	gēsòng
魄	pò	vigor; body; dark part of moon	落魄 魄力	luòpò pòlì
寇	kòu	bandits, thieves; enemy; invade		
萄	táo	grapes	葡萄	pútao
妝	zhuāng	to adorn oneself, dress up, use make-up	化妝品 化妝	huàzhuāngpǐn huàzhuāng
遼	liáo	distant, far	遼闊	liáokuò
薯	shǔ	yam, tuber, potato	馬鈴薯	mǎlíngshǔ
曝	pù	sun, air in sun, expose or dry in the sun	曝光	bàoguāng
諮	zī	consult, confer; communicate in		
蘿	luó	type of creeping plant; turnip		
頒	bān	confer, bestow; publish, promulgate	頒發 頒獎	bānfā bānjiǎng
菌	jūn	mushroom; germ, microbe	細菌 病菌	xìjūn bìngjūn
嚮	xiàng	guide, direct; incline to, favor	嚮導 嚮往	xiàngdǎo xiàngwǎng
氓	máng	people; subjects; vassals	流氓	liúmáng
枚	méi	stalk of shrub, trunk of tree		
酬	chóu	toast; reward, recompense	報酬 應酬	bàochou yìngchou
嘲	cháo	ridicule, deride, scorn, jeer at		
橘	jú	orange, tangerine	橘子	júzi
侮	wǔ	insult, ridicule, disgrace	欺侮 侮辱	qīwǔ wǔrǔ
灘	tān	bank, a sandbar, shoal; rapids	海灘 沙灘	hǎitān shātān
屢	lǚ	frequently, often, again and again		
巢	cháo	nest, living quarter in tree		
髓	suǐ	bone marrow; essences, substances	精髓	jīngsuǐ
碑	bēi	stone tablet; gravestone		
梨	lí	pear; opera; cut, slash	梨子	lízi
礦	kuàng	mine; mineral, ore	礦產 礦工	kuàngchǎn kuànggōng
脹	zhàng	swell, inflate, expand	膨脹 通貨膨脹	péngzhàng tōnghuòpéngzhàng
譴	qiǎn	reprimand, scold, abuse		
煉	liàn	smelt, refine; distill, condense		
豹	bào	leopard, panther; surname		
擅	shàn	monopolize; claim; arbitrarily; to dare	擅長	shàncháng
蠶	cán	silkworms		
肌	jī	muscle tissue; meat on bones	肌肉 肌膚	jīròu jīfū
攀	pān	climb; pull; hang on to		
闢	pì	open; settle, develop, open up	開闢	kāipì
嘍	lóu	used in onomatopoetic expressions		
盞	zhǎn	small cup or container; classifier for lamps, etc.		
鄙	bǐ	mean; low		
浦	pǔ	bank of river, shore; surname		
尬	gà	limp, staggering gait; embarrass	尷尬	gāngà
株	zhū	numerary adjunct for trees; root		
侍	shì	serve, attend upon; attendant, servant; samurai		
逗	dòu	tempt, allure, arouse, stir	逗留	dòuliú
喉	hóu	throat, gullet, larynx; guttural	喉嚨	hóulóng
栽	zāi	to cultivate, plant; to care for plants		
疫	yì	epidemic, plague, pestilence	免疫 瘟疫	miǎnyì wēnyì
飼	sì	raise animals; feed; nourish	飼養	sìyǎng
鋁	lǚ	aluminum		
鉛	qiān	lead plumbum	鉛筆	qiānbǐ
劈	pī	cut apart, split, chop		
艘	sōu	counter for ships, vessels		
仕	shì	official; serve government	仕女	shìnǚ
嶼	yǔ	island	島嶼	dǎoyǔ
郊	jiāo	suburbs; waste land, open spaces	郊區 郊外	jiāoqū jiāowài
裸	luǒ	bare, nude; undress, strip		
嘯	xiào	roar, howl, scream; whistle	海嘯	hǎixiào
寓	yù	residence; lodge; dwell	公寓 寓言	gōngyù yùyán
狸	lí	fox		
柄	bǐng	handle, lever, knob; authority		
挪	nuó	move, shift on one side		
沛	pèi	abundant, full, copious; sudden		
彙	huì	collect, compile, assemble; hedgehog	詞彙	cíhuì
豎	shù	vertical; perpendicular; upright		
僚	liáo	companion, colleague; officials; bureaucracy; a pretty face		
姜	jiāng	surname; ginger		
窄	zhǎi	narrow, tight; narrow-minded	狹窄	xiázhǎi
杖	zhàng	cane, walking stick		
兜	dōu	pouch		
廊	láng	corridor, porch, veranda	走廊	zǒuláng
燙	tàng	scald, heat; wash; iron clothes		
惶	huáng	fearful, afraid, anxious, nervous	惶恐 驚惶	huángkǒng jīnghuáng
吶	nà	raise voice, yell out loud, shout; stammer		
耿	gěng	bright, shining; have guts		
綽	chuò	graceful, delicate; spacious		
迄	qì	extend, reach; until; till		
柵	shān	fence; palisade; grid		
煥	huàn	shining, brilliant, lustrous		
妒	dù	jealous, envious	嫉妒	jídù
鷗	ōu	seagull, tern; Larus species (various)		
溯	sù	go upstream, go against current; formerly		
蠅	yíng	flies	蒼蠅	cāngying
潰	kuì	flooding river; militarily defeat	崩潰	bēngkuì
攪	jiǎo	disturb, agitate, stir up	攪和	jiǎohuo
吼	hǒu	roar, shout; bark, howl		
竭	jié	put forth great effort; exhaust	竭力	jiélì
瞄	miáo	take aim at; look at		
唾	tuò	spit, spit on; saliva		
棲	qī	perch; roost; stay		
倡	chàng	guide, leader; lead, introduce	倡導 提倡	chàngdǎo tíchàng
掏	tāo	take out; pull out; clean out		
俺	ǎn	personal pronoun, I		
浸	jìn	soak, immerse, dip, percolate		
酌	zhuó	serve wine; feast; deliberate	酌量	zhuóliáng
繭	jiǎn	cocoon; callus, blister		
芙	fú	hibiscus		
楣	méi	crossbeam above or under gate	倒楣	dǎoméi
